,id,rat_id,label,MeanFreq,Amplitude,AUC,Duration,Peak2Peak,Power,Entropy,NumberOfPeaks,SpecEntropy
13868,434,203,1,6.540445734246211,1528.9582526152506,182.36109728249855,0.515,2164.896072829176,263596.4621346443,0.9936369854966578,6.0,3.156892935307573
11907,36,3,0,10.696200222350726,438.0662205487058,17.619500993668716,0.085,600.0946219071179,59558.17338326612,0.8189555018403103,1.0,3.213166193804876
11878,7,3,0,25.50249286843901,762.5812014429409,18.98431917448801,0.095,733.9092453811861,60018.91341489987,0.9348490242345946,1.0,2.9384141068990006
3317,7,211,0,3.629257013614089,435.9534857794839,16.585082961965526,0.0733333333333333,378.639908703617,69705.99702357918,-0.0,1.0,2.8698367540796514
5000,0,213,1,9.278242940982697,1298.839054979249,168.95907086491576,0.505,2451.368589190486,208694.16773617265,0.9903535997995824,6.0,3.340463421951805
5087,87,213,1,9.66263483234166,1187.8974707162847,141.89843374941043,0.475,1860.8706739961983,142251.32671466185,0.9644590583765232,7.0,3.5428653363981475
6646,830,9,1,7.735944228168095,1027.3808514052305,181.87500691062496,0.6583333333333333,1548.5617290631722,115561.85987834538,1.0147616337441252,7.0,3.235622745745812
11920,49,3,0,12.528398052613705,418.4430480484377,31.14703966083672,0.15,786.8839420728821,59002.18960543746,0.9480782435939056,1.0,2.984281954976644
3522,212,211,0,18.23956592344904,978.0632413721816,24.555757255519087,0.0966666666666666,762.5522162923216,86223.96593557425,0.7007495497162062,2.0,2.9447857501543053
13676,242,203,1,7.408919134162086,1353.4680163777368,170.764469242931,0.5633333333333334,1959.352962018565,180508.9848571877,0.9974728859256328,7.0,3.2754464154429046
3533,223,211,0,8.33261561490905,602.1605465469837,28.721002428332906,0.1166666666666666,800.5221752201078,95835.55111115816,0.692419486327474,1.0,3.007112935177345
3365,55,211,0,3.4161973285760063,544.5961609920596,20.459992758295886,0.0716666666666666,479.3734995195945,109097.13817054254,-0.0,1.0,2.970289890564038
13563,129,203,1,9.003811966819866,1590.131357922319,176.68258165151755,0.3716666666666666,2799.392067970947,370311.2734198328,0.9860148986230132,5.0,2.1704753631796745
11915,44,3,0,14.270248483069292,682.5887975099286,29.01367329895136,0.1466666666666666,754.5018929680517,53240.23158375363,0.8609652558547649,1.0,2.7992790877155382
15225,70,4,2,3.177847178566517,2635.6808680713025,88.95769988374184,0.0533333333333333,2266.516819580316,3380088.0600821786,-0.0,0.0,2.9787805248882884
13537,103,203,1,6.812651308477073,1797.8710422273805,182.82066895727496,0.2766666666666666,2814.457433650142,647062.3705515667,0.9962271482775464,2.0,2.4385648195510874
3310,0,211,0,1.033891434653897,348.8500962411946,31.782654472456286,0.1216666666666666,263.90815255062546,75411.71226927712,-0.0,1.0,2.008767958823156
3388,78,211,0,5.431190525968223,567.7578642675086,25.15800494844836,0.1033333333333333,575.883495780837,91379.79925051997,0.5150089182972988,1.0,2.957906685874507
13640,206,203,1,10.59681158001596,1851.3528369282865,148.80925033944783,0.3483333333333333,2593.213811814112,348756.7046364645,0.9962811561832604,4.0,2.5360729208635298
3313,3,211,0,3.924548164430466,357.6073974078049,19.678806801951723,0.1,352.26377637765245,53233.89162639074,-0.0,1.0,2.8103115488007817
8249,2,201,0,5.107921338656892,581.4416867430309,26.01137651122687,0.0933333333333333,638.1121960154403,111361.62076705492,0.5916727785823275,1.0,2.992180558762564
14929,4,4,1,7.498300544448979,1794.698709543223,153.9108539627473,0.2366666666666666,2503.17612184266,604958.4052564624,0.9477073729342066,2.0,2.790581127216553
8830,416,201,1,7.481438635178679,1133.1597796519295,135.00997577412286,0.5683333333333334,1608.5299854760233,106729.98824457388,1.0184030829203563,7.0,3.2885948643903857
3,3,206,0,11.32935254030204,703.4541186450135,25.55190746413468,0.105,685.4592370754999,89953.85105284663,0.7024665512903903,1.0,2.9991364153243225
3402,92,211,0,6.641416708966032,896.9482603067754,36.81275938804862,0.1066666666666666,1018.9918528759886,196480.56934892287,0.6252624052234231,1.0,3.118231126589278
3371,61,211,0,4.481701706408713,555.1365926413157,33.06942747503911,0.1083333333333333,525.2525375412489,122088.87894369068,-0.0,1.0,2.699113298739019
3315,5,211,0,6.852445552796562,321.11315583234415,28.47154063241232,0.245,460.9303022677517,22575.981556497158,0.7995945116350291,2.0,2.582726274235984
3319,9,211,0,6.742967903925078,353.4518639103267,24.25196762805605,0.1716666666666666,397.6270476276474,36268.57745539957,0.7995318105266798,2.0,2.736106819290879
14990,65,4,1,7.720922911507756,1973.5201034250003,130.9698516799025,0.2133333333333333,2380.6033926981872,581931.6451893193,0.954434002924965,3.0,2.553662515787865
5661,24,9,0,5.650021708510109,803.7055704058339,25.6616581872622,0.0666666666666666,564.9195057602028,171646.03860076074,-0.0,1.0,2.55258776071618
12456,24,210,0,18.16245675800935,1024.400222060374,37.386925459428014,0.1366666666666666,859.1381162808277,104457.7428139558,1.0740070120966374,2.0,2.547454955835903
13437,3,203,1,4.590910854029182,1508.395326628273,189.34830945698792,0.4566666666666666,2295.561306467528,323051.5685640919,0.9674320981530664,6.0,3.117515159414076
3417,107,211,0,11.802050021326112,482.0625660958492,35.00603450256922,0.185,833.4608084102304,55597.60408655999,0.9994730201859836,2.0,2.636556215120895
222,222,206,0,16.157427900169356,1099.8020199761918,34.54228714194139,0.12,883.6515841056913,108781.63270356502,0.710676853856123,1.0,2.8910121921197103
