filename,rat_id,sizes,complex,swr,ripple
dataset_HPCpyra_ratID210.hdf5,210,"(1005, 8, 60)",80,516,409
dataset_HPCpyra_ratID206.hdf5,206,"(1079, 8, 60)",354,167,558
dataset_HPCpyra_ratID3.hdf5,3,"(210, 8, 60)",51,29,130
dataset_PFCshal_ratID213.hdf5,213,"(300, 64, 2400)",107,54,139
dataset_HPCpyra_ratID203.hdf5,203,"(1016, 8, 60)",262,266,488
dataset_HPCpyra_ratID211.hdf5,211,"(925, 8, 60)",276,161,488
dataset_PFCshal_ratID203.hdf5,203,"(1016, 64, 2400)",262,266,488
dataset_PFCshal_ratID206.hdf5,206,"(1079, 64, 2400)",354,167,558
dataset_PFCshal_ratID4.hdf5,4,"(546, 64, 2400)",291,25,230
dataset_PFCshal_ratID210.hdf5,210,"(1005, 64, 2400)",80,516,409
dataset_PFCshal_ratID211.hdf5,211,"(925, 64, 2400)",276,161,488
dataset_PFCshal_ratID201.hdf5,201,"(1616, 64, 2400)",167,1003,446
dataset_PFCshal_ratID9.hdf5,9,"(1850, 64, 2400)",179,790,881
dataset_HPCpyra_ratID9.hdf5,9,"(1850, 8, 60)",179,790,881
dataset_HPCpyra_ratID213.hdf5,213,"(300, 8, 60)",107,54,139
dataset_PFCshal_ratID3.hdf5,3,"(210, 64, 2400)",51,29,130
dataset_HPCpyra_ratID4.hdf5,4,"(546, 8, 60)",291,25,230
dataset_HPCpyra_ratID201.hdf5,201,"(1616, 8, 60)",167,1003,446
